teamID,name
71,Aston Villa
72,Everton
74,Southampton
75,Leicester
76,West Bromwich Albion
77,Sunderland
78,Crystal Palace
80,Chelsea
81,West Ham
82,Tottenham
83,Arsenal
84,Swansea
85,Stoke
86,Newcastle United
87,Liverpool
88,Manchester City
89,Manchester United
91,Hull
92,Burnley
202,Queens Park Rangers
73,Bournemouth
79,Norwich
90,Watford
93,Middlesbrough
219,Huddersfield
220,Brighton
227,Cardiff
228,Fulham
229,Wolverhampton Wanderers
238,Sheffield United
245,Leeds
137,Malaga
138,Sevilla
139,Deportivo La Coruna
140,Real Sociedad
141,Espanyol
142,Getafe
143,Atletico Madrid
145,Rayo Vallecano
146,Valencia
147,Athletic Club
148,Barcelona
150,Real Madrid
151,Levante
152,Celta Vigo
154,Villarreal
155,Granada
156,Eibar
206,Cordoba
207,Elche
208,Almeria
144,Las Palmas
149,Sporting Gijon
153,Real Betis
157,Osasuna
158,Alaves
159,Leganes
223,Girona
231,Real Valladolid
232,SD Huesca
239,Mallorca
261,Cadiz
117,Bayern Munich
118,Hamburger SV
119,Bayer Leverkusen
120,Hoffenheim
121,Augsburg
122,Hertha Berlin
123,Werder Bremen
124,Schalke 04
125,Mainz 05
128,Hannover 96
129,Borussia Dortmund
130,Borussia M.Gladbach
131,Wolfsburg
132,Eintracht Frankfurt
133,VfB Stuttgart
134,FC Cologne
135,Freiburg
205,Paderborn
126,Ingolstadt
127,Darmstadt
136,RasenBallsport Leipzig
233,Fortuna Duesseldorf
234,Nuernberg
240,Union Berlin
262,Arminia Bielefeld
94,Verona
95,Roma
96,Lazio
98,Juventus
99,Udinese
100,Palermo
101,Genoa
102,Sampdoria
104,Sassuolo
105,Napoli
106,Inter
107,Atalanta
108,Empoli
109,Chievo
110,Fiorentina
111,AC Milan
113,Torino
116,Cagliari
203,Cesena
97,Bologna
103,Carpi
112,Frosinone
114,Pescara
115,Crotone
221,SPAL 2013
222,Benevento
230,Parma Calcio 1913
242,Brescia
243,Lecce
260,Spezia
160,Lille
161,Paris Saint Germain
162,SC Bastia
163,Rennes
164,Marseille
165,Caen
166,Montpellier
168,Nantes
169,Guingamp
170,Nice
171,Monaco
174,Toulouse
175,Saint-Etienne
176,Bordeaux
177,Reims
178,Lyon
179,Lorient
180,Metz
209,Evian Thonon Gaillard
210,Lens
167,Angers
172,Troyes
173,GFC Ajaccio
181,Dijon
182,Nancy
224,Amiens
225,Strasbourg
235,Nimes
241,Brest
